No,Nama Tempat,Kategori,Koordinat,Latitude,Longitude,Alamat,Deskripsi
440,Makam Loang Baloq,Museum,S8 36 13.3 E116 04 33.1,-8.596306,116.075861,Kecamatan Ampenan Mataram,"Makam Loang Baloq yang berada di kota Lombok ini di pulau Ampenan. Sebenarnya kompleks pemakaman dilingkungan makam yg ditumbuhi sejumlah pohon kamboja. Masyarakat Sasak misalnya, memiliki keterikatan emosional dengan makam, nenek moyangnya."
441,Taman Mayura,Kebun Raya,S8 35 11.4 E116 07 59.4,-8.580167,116.133167,"Kecamatan Cakranegara, Kota Mataram","Mayura adalah paduan unik dan khas dari konsep taman, kolam serta pura ibadah. Bangunan bersejarah ini menawarkan perpaduan suasana antara nuansa alam, atmosfer religius dan sejarah yang berada di provinsi Nusa Tenggara Barat."
442,Pura Meru,Pura,S8 35 15.3 E116 07 53.1,-8.579083,116.131417,Kecamatan Cakranegara Kota Mataram,"Pura Meru terletak berseberangan dengan Taman Mayura dan dibangun bersamaan. Pura Meru dibangun di bawah pengawasan Anak Agung Gede Karang Asem, untuk tempat bersembahyang umat Hindu."
443,Kamasan - Kerajinan Perak,Pusat Kerajinan,S8 34 28.5 E116 06 36.0,-8.55875,116.11,Informasi tidak ada,Informasi tidak ada
444,Sayang-sayang - Kerajinan Tangan,Pusat Kerajinan,S8 34 16.7 E116 07 51.0,-8.562028,116.130833,Informasi tidak ada,Merupakan kerajinan Handicraft rumput ketak. Hasil kerajinan ini merupakan salah satu komoditi ekspor yang cukup menjanjikan dan menempati tempat ke-3 terbesar penghasil devisa setelah barang tambang dan mutiara.
445,Karang Genteng Pagutan - Kawasan Penjualan Mutiara,Pusat Kerajinan,S8 37 01.2 E116 06 51.0,-8.616333,116.114167,"Jalan raya Petemon Karang Genteng, Kelurahan Pagutan",Merupakan salah satu pusat penjualan mutiara di Lombok dan pusat kerajinan tangan yang berbahan baku mutiara.
446,Pusat Oleh-Oleh Imamulia,Oleh-Oleh,S8 33 51.7 E116 07 56.9,-8.535639,116.132472,Informasi tidak ada,Informasi tidak ada
447,Sekarbela -Pusat Pengrajin Mutiara,Pusat Kerajinan,S8 36 00.6 E116 05 37.7,-8.599833,116.093806,Desa Sekarbela Kecamatan Sekarbela Lombok,"Sekarbela, Mataram Lombok NTB Nusa Tenggara Barat, sebagai sentra kerajinan mutiara lombok. sejak lama daerah ini menjadi pusat perdagangan perhiasan, emas perak dll."
448,Hotel Handika Mataram,Hotel,S8 35 22.3 E116 07 06.7,-8.577139,116.118528,Jalan panca usaha no. 3 Mataram,"Hotel yang terletak di jalan panca usaha no. 3 ini, memberikan harga murah dengan fasilitas yang tidak kalah saing dengan hotel-hotel lain."
449,RM. Garden House,Rumah Makan,S8 35 01.7 E116 06 41.5,-8.582861,116.111528,Informasi tidak ada,Informasi tidak ada
450,RM Green Asri,Rumah Makan,S8 34 11.8 E116 08 33.6,-8.563389,116.142667,Informasi tidak ada,Informasi tidak ada
451,L & L Cafe,Cafe,S8 35 13.1 E116 07 32.1,-8.579694,116.125583,Informasi tidak ada,Informasi tidak ada
452,Tiara Dellicio Cafe,Cafe,S8 35 13.9 E116 07 12.4,-8.579472,116.120111,Informasi tidak ada,Informasi tidak ada
453,KFC Mataram Mall,Rumah Makan,S8 35 13.5 E116 07 11.8,-8.579583,116.119944,Informasi tidak ada,Informasi tidak ada
454,Mc Donalds Mataram Mall,Rumah Makan,S8 35 13.6 E116 07 10.7,-8.579556,116.119639,Lantai I Mataram Mall,Merupakan Retaurant Fast Food yang terletak di dalam Mataram Mall Lantai I
455,Restoran Dua Em,Rumah Makan,S8 34 51.3 E116 07 38.4,-8.552417,116.127333,Informasi tidak ada,Informasi tidak ada
456,Apotek Kimia Farma,Apotek,S8 35 12.8 E116 07 11.6,-8.579778,116.119889,Informasi tidak ada,Informasi tidak ada
457,Bandara Selaparang,Bandar Udara,S8 33 45.5 E116 06 10.1,-8.537361,116.102806,Kota Mataram,"Bandara yang terletak di kota Mataram dan Bandara ini resmi ditutup, Jumat 30 September 2011."
458,Perpustakaan NTB,Perpustakaan,S8 35 03.6 E116 05 15.7,-8.582333,116.087694,"Jl. Peninjauan Narmada Po. BOX 1017, Mataram 83010 Nuasa Tenggara Barat",Perpustakaan Balai Pengkajian Teknologi Pertanian Nusa Tenggara Barat (BPTP NTB) termasuk perpustakaan khusus.
459,Kantor Disbudpar. Prov. NTB dan TIC,Kantor Pemerintahan,S8 34 37.5 E116 04 58.5,-8.556250,116.082917,Jln. Majapahit Mataram,Kantor Dinas Kebudayaan dan Pariwisata Provinsi NTB yang berada di Jln. Majapahit Mataram.
460,Kantor Polres Mataram,Kantor Polisi,S8 34 38.8 E116 04 59.2,-8.555889,116.083111,Mataram,Informasi tidak ada
461,Kantor Pos Pusat Mataram,Kantor Pos,S8 35 40.1 E116 06 10.9,-8.572194,116.103028,Mataram,Terletak di jalan Sriwijaya Mataram Nusa Tenggara Barat
462,JNE Express,Kantor,S8 35 39.4 E116 06 52.0,-8.572389,116.114444,Mataram,Informasi tidak ada
463,Masjid Darul Hidayah,Masjid,S8 36 47.0 E116 07 39.0,-8.586944,116.127500,Mataram,Informasi tidak ada
464,BNI 46 Cab. Mataram,Bank,S8 34 44.3 E116 05 28.7,-8.554361,116.091306,Mataram,Jalan Langko Mataram Lombok NTB
465,Bank Indonesia Cab. Mataram,Bank,S8 34 52.8 E116 06 07.6,-8.552000,116.102111,Mataram,"Bank Indonesia Mataram, Nusa Tenggara Barat"
466,Bank Mandiri Cab. Mataram,Bank,S8 35 13.5 E116 07 34.3,-8.579583,116.126194,Mataram,Jl. Sultan Hasanudin No.40 Cakranegara
467,"Bank NTB, Pejanggik",Bank,S8 34 56.5 E116 06 25.5,-8.550972,116.107083,Mataram,"Jalan Pejanggik no.30, Mataram, Nusa Tenggara Barat 83127"
468,BRI,Bank,S8 34 54.6 E116 06 17.8,-8.551500,116.104944,Mataram,Informasi tidak ada
469,RSUP Mataram,Rumah Sakit,S8 34 59.7 E116 06 37.3,-8.550083,116.110361,Mataram,Jl Pejanggik 6 Cakra Barat Cakra Negara
470,Mataram Mall,Pusat Perbelanjaan,S8 35 13.7 E116 07 11.1,-8.579528,116.119750,Mataram,jln. Pejanggik mataram lombok
471,Perama,Informasi tidak ada,S8 35 02.2 E116 06 48.5,-8.582722,116.113472,Mataram,Informasi tidak ada
472,Taman Wisata Alam Bangko Bangko,Pantai,S8 45 10.3 E115 51 49.2,-8.747139,115.863667,Lombok Barat,"Taman Wisata Alam Bangko-Bangko terletak di Desa Pelangan, Kecamatan Sekotong, Kabupaten Lombok Barat"
473,Cinderamata UD. Sri Utami -Kerajinan Gerabah,Pusat Kerajinan,S8 38 54.7 E116 07 04.6,-8.618139,116.117944,Lombok Barat,Merupakan pusat kerajinan gerabah yang terkenal di NTB bahkan hingga ke mancanegara
474,Hutan Wisata Suranadi,Hutan Wisata,S8 34 06.5 E116 13 48.9,-8.564861,116.230250,Lombok Barat,Kanopi hutan yang relatif rapat menjadikan lantai hutan lembab dan ditumbuhi aneka macam tanaman bawah
475,Gunung Pengsong,Informasi tidak ada,S8 38 29.9 E116 05 08.2,-8.625028,116.085611,"Desa Kuripan, Kecamatan Labuapi, Lombok Barat.","Gunung Pengsong terletak di Desa Kuripan, Kecamatan Labuapi, Lombok Barat, berjarak sekitar 10 Km ke arah Selatan dari Bandara Selaparang, Mataram. Ada banyak hal yang bisa dinikmati pengunjung di sini. Selain suasana alam dan panorama yang masih asri."
476,Bukit Malimbu,Informasi tidak ada,S8 26 35.6 E116 02 01.2,-8.443220,116.033667,"Desa Malimbu, Kec. Batulayar, Kab. Lombok Barat.","Bukit Malimbu merupakan daratan tinggi terusan area Pantai Senggigi, terletak di Desa Malimbu, Kec. Batulayar, Kab. Lombok Barat. Berjarak 7 km atau 15 menit berkendara dari Pantai Senggigi, Provinsi Nusa Tenggara Barat."
477,Sekotong Barat,Pantai,S8 45 16.1 E116 02 22.2,-8.745528,116.033670,Pantai Sekotong berada di Kabupaten Lombok Barat.,"Pantai Sekotong berada di Kabupaten Lombok Barat, Provinsi NTB. Di sini Anda akan menemukan keindahan wisata yang sangat mengagumkan, mulai dari jejeran pulau-pulau kecil yang menawarkan keindahan bawah lautnya."
478,Pantai Malimbu -Posisi Sunset,Pantai,S8 26 37.3 E116 02 01.0,-8.443690,116.033610,"Desa Malimbu, kabupaten Lombok Barat, Provinsi Nusa Tenggara Barat.","Terletak di Kabupaten Lombok Barat, Provinsi Nusa Tenggara Barat. Menikmati hamparan pasir putih di Pantai Malimbu yang terbentang di hadapan bukit. Lokasi ini mudah dijangkau karena jalannya yang memang cuma satu."
479,Pantai Labuan Poh,Pantai,S8 44 16.0 E115 57 56.0,-8.728889,115.965556,"Sekotong, Lombok Barat.","Terletak pada area Labuan Poh - Sekotong, panorama yang indah ke arah gili-gili di sekitarnya. Pantai pasir putih, dengan laut biru yang tenang dan perbukitan hijau sebagai latar belakangnya."
480,Pantai Senggigi,Pantai,S8 29 55.6 E116 02 42.9,-8.467889,116.045250,Terletak 12 kilometer di sebelah barat laut Kota Mataram.,"Pantai Senggigi di Pulau Lombok, Nusa Tenggara Barat. Pantai ini memang merupakan obyek wisata yang terkenal dengan keindahan dan kealamian pantainya sebagai kawasan wisata pantai andalan."
481,Narmada,Kebun Wisata,S8 35 42.9 E116 12 13.0,-8.571417,116.203611,"Desa Lembuah, Kecamatan Narmada, Kabupaten Lombok Barat.","Taman Narmada terletak di Desa Lembuah, Kecamatan Narmada, Kabupaten Lombok Barat."
482,Bale Petirtan,Kebun Wisata,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada,Taman yang luasnya sekitar 2 ha ini dibangun pada tahun 1727 oleh Raja Mataram Lombok.
483,Merajan Sanggh,Kebun Wisata,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada,"Anak Agung Ngurah Karang Asem, sebagai tempat upacara Pakelem."
484,Bale Loji,Kebun Wisata,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada,"Nama Narmada diambil dari Narmadanadi, anak Sungai Gangga yang sangat suci di India."
485,Bale Terang,Kebun Wisata,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada
486,Halm Jabalkap,Kebun Wisata,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada
487,Halm Mukedas,Kebun Wisata,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada,Informasi tidak ada
488,Sheraton Beach Hotel,Hotel,S8 29 39.6 E116 02 40.4,-8.472333,116.044556,"Jl. Raya Senggigi Km.8, P.O. Box 1154.","Terletak di Lombok Barat, Sheraton Senggigi Beach Resort dikelilingi oleh kelimpahan pemandangan yang indah, budaya lokal yang hidup, dan kegiatan rekreasi."
489,Pura Suranadi,Pura,S8 34 13.7 E116 13 56.5,-8.562861,116.232361,"Desa Suranadi, Lombok Barat.","Suranadi berasal dari kata sura yang berarti dewa, dan nadi memiliki arti sungai. Konon, Suranadi juga mengandung arti kahyangan dalam kamus bahasa Jawa Kuno."
490,Tirta Pangentas -Area Pura Suranadi,Pura,S8 34 15.2 E116 13 55.6,-8.562444,116.232111,"Desa Suranadi, Lombok Barat.","Mata air pangentas, diberikan kepada sawa sebelum dikubur atau dibakar. Dekat area Tirta Pangentas ini terdapat pula sebuah tempat pembuangan air tirta pangentas yang dipergunakan untuk memerciki/membersihkan hewan yang akan disembelih sebagai sesaji."
491,Puri Bunga,Pura,S8 29 44.2 E116 02 41.8,-8.471056,116.044944,Senggigi,"Terletak di dalam taman-taman tropis, Puri Bunga Beach Cottages terletak di Lombok, Kamar-kamar di Puri Bunga memiliki balkon pribadi dengan pemandangan Lombok."
492,Pura Lingsar,Pura,S8 34 33.7 E116 10 52.1,-8.557306,116.181139,"Desa Lingsar, Kecamatan Narmada, Kabupaten Lombok Barat","Pura dan Kemaliq Lingsar terletak di Desa Lingsar, Kecamatan Narmada, Kabupaten Lombok Barat Nusa Tenggara Barat. Dua danau kembar mengapit jalanan menuju pura di dalamnya."
493,Pura Kemaliq,Pura,S8 34 34.8 E116 10 52.3,-8.557000,116.181194,"Kecamatan Narmada, Kabupaten Lombok Barat","Pura ini merupakan pura terbesar dan tertua yang dibangun sekitar tahun 1714 M, oleh Raja Anak Agung Ngurah. Pura ini merupakan simbol kerukunan."
494,Makam Batu Layar,Makam,S8 30 59.8 E116 03 37.4,-8.483389,116.060389,"Pantai Batu Layar, Senggigi",Makam ini merupakan makam yang dikeramatkan oleh masyarakat Pulau Lombok. Makam ini merupakan makam Syeh Syayid Muhammad al Bagdadi.
495,Pura Batu Bolong,Pura,S8 30 33.7 E116 03 25.8,-8.490639,116.057167,"Senggigi, Lombok","Di sudut tikungan jalan menurun menuju Senggigi, Lombok, di situlah Pura Batu Bolong berada. Pura ini berdiri di atas batu karang yang berlubang serta tetap kokoh di bibir pantai Senggigi."
496,Nyiurbaya Gawah,Pusat Kerajinan,S8 33 05.9 E116 12 24.0,-8.548361,116.206667,"Dusun Nyiurbaya Gawah Batu Mekar, Kecamatan Lingsar","Terletak di dusun Nyiurbaya Gawah Batu Mekar, Kecamatan Lingsar, Lombok Barat."
497,Gem Pearls,Pusat Kerajinan,S8 32 52.1 E116 04 22.6,-8.518861,116.072944,"Jl. Raya Meninting 69, Senggigi, Lombok",Tempat pusat penjualan mutiara bagi mereka yang menyukai perhiasan. Lombok terkenal dengan produksi mutiara terbaiknya.
498,Lombok Bagus,Pusat Kerajinan,S8 37 41.6 E116 07 31.1,-8.605111,116.125306,Lombok Barat/Labu Api,Informasi tidak ada
499,Gatap Desa,Pusat Kerajinan,S8 35 49.7 E116 08 09.1,-8.569528,116.135861,Lombok Barat,"Getap Desa memproduksi kebutuhan Suku Sasak akan Pisau, Pedang dan segala macam senjata tajam dengan metode pembuatan yang masih tradisional."
500,Pasar Seni,Pasar,S8 29 46.5 E116 02 41.9,-8.470417,116.044972,6 Km dari Kota Mataram,"Berjarak sekitar 6 Km dari Kota Mataram, terdapat beragam produk gerabah serta berbagai macam pernak-pernik dan kerajinan daerah."
501,Souvenir Narmada,Oleh-oleh,S8 35 43.3 E116 12 13.6,-8.571306,116.203778,Lombok Barat,Informasi tidak ada
502,Hotel Nirvana Roemah Air,Hotel,S8 44 26.2 E116 01 40.4,-8.726056,116.027889,Lombok Barat,Informasi tidak ada
503,Hotel SunDancer,Hotel,S8 44 08.5 E115 58 40.2,-8.735690,115.977830,"Kecamatan Sekotong, Lombok Barat Selatan","Terletak di 48 Hektar daerah keindahan alam di Sekotong, Lombok Barat Selatan, Indonesia. Memiliki 66 villa dan kamar tidur di kebun kelapa dengan pemandangan laut."
504,Tugu Hotel,Hotel,S8 21 47.7 E116 06 32.9,-8.336750,116.648300,"Pantai Sire, Tugu Lombok","Terletak di Pantai Sire, Tugu Lombok menawarkan konsep bersantap unik dengan berbagai sajian tematik yang dapat dipilih."
505,Senggigi Beach Hotel,Hotel,S8 29 55.1 E116 02 48.4,-8.468028,116.046778,"Pantai Senggigi Lombok, Lombok Barat","Terletak di pulau lombok, Mataram. Hotel menawarkan akomodasi beratap jerami dengan Wi-Fi gratis dan pemandangan taman tropis, Senggigi Beach Hotel menyediakan berbagai fasilitas rekreasi."
506,Hotel Suranadi,Hotel,S8 34 14.8 E116 13 56.2,-8.562556,116.232278,"Desa Sesaot Kecamatan Narmada, sekitar 10 kilometer dari kodya Mataram, Lombok Barat","Hotel Suranadi terletak di Desa Sesaot Kecamatan Narmada, sekitar 10 kilometer dari kodya Mataram atau 20 menit dengan kendaraan pribadi. Hotel Suranadi merupakan hotel bekas peninggalan zaman Belanda, dibangun di tengah hutan lindung dan terdapat pura s"
507,RM Bengkel Murah Meriah Khas Sasak,Rumah Makan,S8 37 11.9 E116 08 57.6,-8.613361,116.149333,Lombok Barat,Informasi tidak ada
508,Pelabuhan Lembar,Pelabuhan,S8 43 44.8 E116 04 37.7,-8.704222,116.077139,"sebelah barat Pulau Lombok atau terletak di Teluk Labuhan Tereng Tereng, Lombok Barat","Pelabuhan Lembar berada di sebelah barat Pulau Lombok atau terletak di Teluk Labuhan Tereng Tereng pada posisi jarak dengan kota Mataram sekitar 30 km serta Pelabuhan Lembar adalah alternatif yang tepat dan aman, untuk berlabuhnya kapal-kapal baik di mus"
509,Dermaga Teluk Kodek -Penyeberangan ke Three Gili,Pelabuhan,S8 24 25.4 E116 04 43.9,-8.40706,116.07886,Lombok Barat,Informasi tidak ada
510,Pelabuhan Transit ke Gili Meno,Pelabuhan,S8 24 16.6 E116 04 17.0,-8.40706,116.07886,Lombok Barat,Informasi tidak ada
511,Polisi Sektor Senggigi,Kantor Polisi,S8 29 44.2 E116 02 41.2,-8.471056,116.044778,Lombok Barat,Informasi tidak ada
512,Pantai Kuta,Pantai,S8 53 38.1 E116 16 56.7,-8.87275,116.282417,"Pantai Selatan Pulau Lombok Kabupaten Lombok Tengah, Lombok Tengah",Area pantai yang terdekat dengan jalan masuk adalah area yang dipenuhi batu karang. Air laut jernih tidak menghalangi pandangan mengagumi bagu-batu karang dan penghuni-penghuni kecil yag sesekali tampak berenang dan merayap di situ. Lima puluh meter dari Pantai
513,Tanjung Aan,Pantai,S8 54 34.5 E116 19 44.9,-8.890417,116.329139,"Pantai Kuta, Lombok Tengah","Di provinsi Nusa Tenggara Barat, pegunungan, pantai, menghadap ke pulau ini hamparan pasir yang tak terputus, Gunung Rinjani menghadap ke pulau ini. Para Aan Tanjung, Surga bagi pecinta pantai merupakan daerah sangat bagus dekat Pantai Kuta. Fitur ter"
514,Masjid Kuno Rambitan,Masjid,S8 49 45.9 E116 17 39.5,-8.803917,116.294306,"kecamatan Pujut kabupaten LOMBOK TENGAH, Lombok Tengah",Terletak di bukit rambitan kecamatan Pujut kabupaten LOMBOK TENGAH. Adalah masjid unik yang di bangun oleh wali dan di bantu oleh para jemaahnya. Yang di dirikan pada abad ke 16M.
515,Beleka -Kerajinan Tangan,Pusat Kerajinan,S8 45 06.3 E116 24 00.0,-8.74825,116.400000,"arah Timur kota Praya Kecamatan Praya Timur, Kabupaten Lombok Tengah, Lombok Tengah","Desa yang terletak 15 km di arah Timur kota Praya Kecamatan Praya Timur, Kabupaten Lombok Tengah ini merupakan salah satu pusat kerajinan tangan terutama kerajinan rotan dan ketak."
516,Damar Wulan -Kerajinan Gerabah,Pusat Kerajinan,S8 44 54.7 E116 14 41.9,-8.718139,116.244972,Lombok Tengah,Informasi tidak ada
517,Sukarara -Kerajinan Tenun,Pusat Kerajinan,S8 41 11.6 E116 14 08.0,-8.680111,116.235556,"Desa Sukarara, Lombok Tengah","Di Sukarara, kain tenun adalah produk home industry, bukan komoditas pabrik besar. Hampir setiap rumah di desa berpopulasi 150 kepala keluarga ini memiliki alat tenun. Meski begitu, profesi penenun sejatinya cuma ditekuni kaum Hawa. Mereka lazimnya menen"
518,Desa Tradisional Sade,Desa,S8 50 22.5 E116 17 32.2,-8.827083,116.292278,"antara Mataram dengan kawasan di selatan Lombok (termasuk Kuta), Lombok Tengah","Ada banyak desa-desa tradisional di Lombok, salah satunya adalah Dusun Sade di Desa Rambitan, Lombok Tengah. Tidak sulit menemukan dusun ini karena letaknya yang mudah dijangkau. Terletak di pinggir jalan raya antara Mataram dan Praya, dusun ini juga bia"
519,Desa Awang,Desa,S8 52 09.0 E116 21 30.3,-8.864167,116.358417,Lombok Tengah,Informasi tidak ada
520,Desa Sengkol,Desa,S8 47 57.5 E116 17 36.0,-8.767361,116.293333,"kecamatan Pujut, Kabupaten Lombok Tengah, Lombok Tengah","Sengkol adalah ibukota kecamatan Pujut, Kabupaten Lombok Tengah, Indonesia.Pada masa yang lalu wilayah Sengkol terbentang dari bagian selatan kota Praya hingga pesisir pantai selatan Lombok. Wilayah tersebut meliputi seluruh kecamatan Pujut, keca"
521,Desa Sukarara,Desa,S8 41 10.3 E116 14 06.7,-8.680472,116.235194,"Kecamatan Sakra Barat Kabupaten Lombok timur, Lombok Tengah","Desa Sukarara merupakan salah satu desa pengrajin kain songket di Indonesia, yang berada di Pulau Lombok. Kain tenun di Lombok terdiri dari dua jenis, yaitu tenun ikat dan songket. Kain  tenun ikat  dikerjakan oleh para lelaki. Lombok memiliki dua jenis"
522,Hotel Novotel - Kuta,Hotel,S8 49 45.9 E116 17 39.5,-8.803917,116.294306,"pantai selatan Lombok, Lombok Tengah","Novotel Lombok adalah sebuah resort bintang 4 yang terletak di pantai selatan Lombok, menghadap ke pasir putih yang indah dan teluk pirus pantai Kuta. Dibangun 19km dari Bandara Internasional Lombok  Airport memberikan suasana tenang yang ditempatkan di"
523,Lombok CafÃ©,Informasi tidak ada,S8 53 40.3 E116 17 11.2,-8.872139,116.286444,Lombok Tengah,Informasi tidak ada
524,Bandara Praya,Bandara,S8 46 10.2 E116 16 03.0,-8.763833,116.270278,"Kab. Lombok Tengah, NTB., Lombok Tengah","Bandar Udara Internasional Lombok (Lombok International Airport) adalah Bandara domestik dan internasional yang berlokasi di Kab. Lombok Tengah, NTB. . Bandara ini dioperasikan oleh PT Angkasa Pura I dan dibuka pertama kali pada tanggal 1 Oktober 201"
525,Pasar Karang Beluyak,Pasar,S8 42 43.9 E116 17 00.5,-8.687806,116.283472,"Kota Praya, Lombok Tengah, Nusa Tenggara Barat, Lombok Tengah","Merupakan Tradisional Kota Praya, Lombok Tengah, Nusa Tenggara Barat"
526,Pasar Penoja,Pasar,S8 44 48.4 E116 14 27.3,-8.719889,116.240917,Lombok Tengah,Informasi tidak ada
527,Masjid Kuno Bayan Beleq,Masjid,S8 16 01.0 E116 25 36.3,-8.266389,116.426750,"Desa Bayan,Kecamatan Bayan Kecamatan Bayan Kabupaten Lombok Utara, Lombok Utara","Salah satu wisata sejarah di Pulau Lombok adalah Masjid Kuno Bayan Beleq yang terletak di Desa Bayan,Kecamatan Bayan Kecamatan Bayan Kabupaten Lombok Utara, tidak terlalu jauh dari Air Terjun Sendang Gila. Bentuk  masjid  ini memang tidak berbeda jauh de"
528,Pelabuhan Bangsal,Pelabuhan,S8 23 39.2 E116 05 57.2,-8.394220,116.099220,"Kecamatan Pemenang, Lombok Utara, Lombok Utara","Pelabuhan yang terletak di Kecamatan Pemenang, Lombok Utara NTB ini merupakan pintu gerbang bagi wisatawan baik domestik maupun luar negeri, yang akan menuju tiga gili, yaitu  Gili Air, Gili Meno, dan Gili Trawangan. Kalau dari pusat Kota Mataram terdapa"
529,Kantor Rinjani Trek Center -RTC,Kantor Pemerintahan,S8 18 11.9 E116 24 03.5,-8.296694,116.400972,"terletak di Lombok Raya Hotel di Mataram, Lombok Utara",Kantor utama yang terletak di Lombok Raya Hotel di Mataram kantor perwakilan di Rinjani Trek Center di Senaru dan Rinjani Pusat Informasi di Sembalun .
530,RM dan Penginapan Pondok Senaru,Hotel,S8 18 05.1 E116 24 28.3,-8.298583,116.407861,"kaki Gunung Rinjani sebelah utara Pulau Lombok atau sekitar 80 kilo dari kodya Mataram, Lombok Utara",Pondok Senaru terletak di kaki Gunung Rinjani sebelah utara Pulau Lombok atau sekitar 80 kilo dari kodya Mataram. Pondok Senaru tidak menawarkan fasilitas mewah layaknya beberapa hotel Bintang di kawasan wisata Senggigi tapi lebih kepada pemandangan alam
531,Desa Tradisional Senaru,Desa,S8 18 09.6 E116 24 04.8,-8.297333,116.401333,Kecamatan Bayan Kabupaten Lombok Utara,Senaru yang berarti sinar aru merupakan sebuah nama desa yang terletak di Kecamatan Bayan Kabupaten Lombok Utara. Desa yang terletak di kaki rinjani ini memiliki kelebihan bila dibadingkan dengan desa-desa lainnya di KLU. Karena disamping sebagai pintu gDesa
532,Kantor Bupati Lombok Utara,Kantor Pemerintahan,S8 21 22.8 E116 09 30.5,-8.343667,116.658300,Kecamatan Tanjung  Kabupaten Lombok Utara,Tanjung merupakan salah satu kecamatan yang juga merupakan ibu kota di Kabupaten Lombok Utara. tempatnya berada di antara kecamatan pemenang dan gangga menjadikannya pusat perdagangan dan pemerintahan yang mudah dijangkau dari berbagai daerah lain yang a
533,Kantor DPRD Lombok Utara,Kantor Pemerintahan,S8 21 23.2 E116 09 29.7,-8.343556,116.645000,Informasi tidak ada,Informasi tidak ada
534,Otak Koko,Informasi tidak ada,S8 32 03.4 E116 23 57.3,-8.532389,116.399250,"Desa Montong Betok, Kecamatan Montong Gading, Kabupaten Lombok Timur","Terletak di Desa Montong Betok, Kecamatan Montong Gading, Kabupaten Lombok Timur, Propinsi Nusa Tenggara Barat. Tempat ini terkenal dengan air terjun kecil yang airnya  mengalir dari bawah akar beberapa pohon besar. Menurut kepercayaan penduduk setempaAir Terjun"
535,Tete Batu,Desa,S8 34 03.9 E116 25 14.2,-8.565583,116.420611,Desa wisata Tete Batu terletak pada ketinggian 700 meter di atas permukaan laut,"Desa wisata Tete Batu terletak pada ketinggian 700 meter di atas permukaan laut, dengan pemandangan pedesaan yang indah dan udara yang sejuk, bersih dan segar. Tete Batu terletak di tengah jalur menuju beberapa objek wisata seperti air terjun Aiktemer, ODesa"
536,Kota Raja,Desa,S8 35 33.5 E116 25 16.7,-8.574028,116.421306,"kecamatan sikur, kabupaten lombok timur","Kotaraja adalah nama sebuah desa di kecamatan sikur, kabupaten lombok timur. perubahan desa kotaraja menjadi kecamatan kotaraja, kabupaten lombok selatan sedang dalam proses penggodokan. Kotaraja, merupakan pusat pulau lombok, karena ia terletak persis dDesa"
537,Masjid Raudhatul Muttaqin,Masjid,S8 35 33.4 E116 25 16.0,-8.574056,116.421111,Informasi tidak ada,Informasi tidak ada
538,Pringgasela -Kerajinan Gerabah,Pusat Kerajinan,S8 35 10.4 E116 28 50.3,-8.580444,116.480639,Desa Penakak kecamatan Masbagik (berjarak sekitar 7km dari kota Selong).,Desa Penakak kecamatan Masbagik (berjarak sekitar 7km dari kota Selong). Merupakan kerajinan berbahan baku tanah liat merupakan hasil kerajinan yang sangan estetis. Produksi gerbah lombok diminati karena tidak sekedar dijadikan barang pajangan tetapi memPusat Kerajinan
539,Pengrajin Songket,Pusat Kerajinan,S8 35 10.5 E116 28 50.0,-8.580417,116.480556,Kecamatan Jonggat Desa Sukarare,"Songket merupakan kain tenun sask yang terkenal dari Nusa Tenggara Barat, Sauvenir ini dapat di jumpai di daerah objek wisata lombok tengah Kecamatan Jonggat yang merupakan desa tempat penenun membuat kain songket ini berlokasi sekitar 3 km barat kota prPusat Kerajinan"
540,Pengrajin Anyaman,Pusat Kerajinan,S8 36 23.7 E116 25 42.8,-8.593417,116.428556,Informasi tidak ada,Informasi tidak ada
541,Desa Sugian,Desa,S8 20 39.3 E116 41 18.7,-8.322417,116.688528,"Sugian adalah salah satu desa yang terletak di Kecamatan Sambelia, Kabupaten Lombok Timur","Sugian adalah salah satu desa yang terletak di Kecamatan Sambelia, Kabupaten Lombok Timur, Provinsi Nusa Tenggara Barat, Indonesia. Desa ini memiliki kodepos 83656. ada 2 pulau kosong tak berpenghuni di desa ini, namanya Gili Sulat dan Gili Lawang"
542,Desa Sambelia,Desa,S8 26 43.2 E116 41 44.0,-8.421333,116.695556,Kecamatan Sambelia kecamatan KabupatÃ¨n Lombok,"sambelia adalah suatu daerah terpencil, terletak paling timur dari pulau lombok, sambelia terletak diantara gunung dan lautan. desa sambelia dihuni oleh penduduk pendatang dari desa-desa sebelah seperti apitaik,poghading, mamben, wanasaba, bahkan dari lo"
